School,glm_logit,brglm_logit,glm_cauchit,brglm_cauchit,glm_logit_rank,brglm_logit_rank,brglm_cauchit_rank,glm_cauchit_rank,NET
PENN,0.468002289,-0.911231766,-0.845242159,-0.911231766,139,219,219,225,149
UMKC,-0.821384298,-0.969130074,-0.883412623,-0.969130074,227,224,224,227,252
ELON,-1.007194988,-1.020023967,-0.885194889,-1.020023967,241,231,231,228,259
BROWN,-0.146493281,-0.973482636,-0.89165804,-0.973482636,177,226,226,230,225
WYOMING,-0.779508944,-1.060614174,-0.902879999,-1.060614174,226,234,234,231,271
SEATTLE,-0.937371626,-1.144106567,-1.035703153,-1.144106567,232,237,237,238,226
NEBRASKA,-0.072611934,-1.151414627,-1.04151697,-1.151414627,171,238,238,239,199
LMU,-1.328404955,-1.225287533,-1.059255253,-1.225287533,267,244,244,241,207
PFW,-1.306742376,-1.197900033,-1.061976097,-1.197900033,266,242,242,242,282
NAVY,-1.097660667,-1.225313087,-1.123381555,-1.225313087,249,245,245,246,243
ARMY,-1.062370964,-1.24377381,-1.140783637,-1.24377381,246,247,247,247,266
BUCKNELL,-1.022650762,-1.281343182,-1.180426644,-1.281343182,242,249,249,249,239
QUINNIPIAC,-0.959048181,-1.284730378,-1.189225466,-1.284730378,236,250,250,250,245
UMBC,-1.031214834,-1.310239043,-1.215216553,-1.310239043,243,251,251,251,236
HARTFORD,-0.941702096,-1.356126852,-1.256266006,-1.356126852,233,255,255,256,246
IONA,-1.257222536,-1.368996675,-1.271461843,-1.368996675,260,256,256,257,224
LBSU,-0.97241181,-1.404916136,-1.278560701,-1.404916136,238,258,258,258,306
MANHATTAN,-1.346865162,-1.421836746,-1.32146953,-1.421836746,268,260,260,260,269
MILWAUKEE,-1.414019014,-1.460272661,-1.322198025,-1.460272661,276,262,262,261,262
LEHIGH,-1.552442552,-1.500474091,-1.398649974,-1.500474091,288,263,263,263,288
ALBANY,-1.237870837,-1.534857407,-1.436656573,-1.534857407,259,266,266,266,268
HAMPTON,-1.428110002,-1.558813902,-1.451394546,-1.558813902,280,268,268,269,308
FAIRFIELD,-1.299722876,-1.584192279,-1.491276344,-1.584192279,265,271,271,271,285
FORDHAM,-1.347714134,-1.608529287,-1.507208576,-1.608529287,269,272,272,272,244
DARTMOUTH,-1.049107877,-1.628607843,-1.539511024,-1.628607843,245,273,273,273,211
GRAMBLING,-1.632348077,-1.656505898,-1.540377408,-1.656505898,292,275,275,274,300
NIAGARA,-1.366717094,-1.655560511,-1.554637763,-1.655560511,272,274,274,275,309
EVANSVILLE,-1.194768574,-1.686031484,-1.56680425,-1.686031484,256,279,279,277,264
LIU,-1.390564732,-1.673068537,-1.577572711,-1.673068537,274,276,276,278,272
BRYANT,-1.426882733,-1.694141196,-1.601619055,-1.694141196,279,280,280,281,242
DETROIT,-1.685612419,-1.761103065,-1.618515273,-1.761103065,297,285,285,283,307
CANISIUS,-1.28820232,-1.749186129,-1.660358282,-1.749186129,263,283,283,285,253
LAMAR,-1.55907814,-1.762498795,-1.664713422,-1.762498795,289,286,286,286,267
LIPSCOMB,-1.171575566,-1.774291167,-1.686817135,-1.774291167,255,287,287,287,254
CAMPBELL,-1.487925848,-1.832305812,-1.733898615,-1.832305812,281,292,292,292,258
LONGWOOD,-1.830706882,-1.905432194,-1.802029542,-1.905432194,303,294,294,295,302
JACKSONVILLE,-1.58322986,-1.918735061,-1.830890905,-1.918735061,291,295,295,297,251
IDAHO,-1.876972118,-2.05315079,-1.921208796,-2.05315079,308,303,303,301,320
STETSON,-1.406872718,-2.00958078,-1.922918724,-2.00958078,275,301,301,302,294
MAINE,-1.792430169,-2.051130772,-1.954350635,-2.051130772,300,302,302,303,318
DENVER,-2.185415493,-2.166919532,-2.022494126,-2.166919532,323,308,308,308,326
TROY,-1.545367538,-2.27503085,-2.172435228,-2.27503085,286,315,315,315,274
SAMFORD,-2.046887146,-2.374397158,-2.278393946,-2.374397158,315,317,317,317,325
BINGHAMTON,-1.837348162,-2.47557483,-2.384863485,-2.47557483,305,321,321,321,332
PRESBYTERIAN,-2.350989568,-2.571023858,-2.477164351,-2.571023858,327,323,323,323,330
FGCU,-2.182922948,-2.595869654,-2.511840526,-2.595869654,322,324,324,324,312
WAGNER,-2.410186238,-2.633287521,-2.549044348,-2.633287521,331,325,325,325,328
MARIST,-2.359980173,-2.649168519,-2.562507492,-2.649168519,328,326,326,327,311
COLUMBIA,-2.399051387,-2.672973099,-2.589668461,-2.672973099,329,327,327,328,317
VMI,-2.308621743,-2.870008397,-2.7783873,-2.870008397,326,333,333,332,292
CORNELL,-2.091385846,-2.868280224,-2.785818339,-2.868280224,317,332,332,333,293
IUPUI,-2.426239534,-3.143053377,-3.051594562,-3.143053377,332,334,334,334,327
SIUE,-2.960489717,-3.634520458,-3.54899524,-3.634520458,337,339,339,339,336
CCSU,-3.417085425,-3.885046328,-3.82871862,-3.885046328,344,342,342,342,347
HOWARD,-4.433339671,-5.969953644,-6.153772684,-5.969953644,350,351,351,351,349
