School,brglm_cauchit_15,brglm_cauchit_15_rank,brglm_cauchit_inf,brglm_cauchit_inf_rank,glm_cauchit,glm_cauchit_rank,brglm_cauchit,brglm_cauchit_rank,NET
MIAMI (FLA.),2.20446489,76,2.213127575,76,2.4096392,76,2.110215002,76,103
MIAMI (OHIO),-0.305843457,184,-0.30109059,184,-0.173990273,184,-0.350561713,184,206
MICHIGAN,3.204524298,33,3.214600844,33,3.436076177,33,3.092529788,33,24
MICHIGAN ST.,3.808867,18,3.819129196,18,4.043820377,18,3.694515888,18,7
MIDDLE TENN.,-1.898360714,296,-1.895250029,296,-1.795753193,295,-1.922098276,297,296
MILWAUKEE,-1.431617866,263,-1.428123218,263,-1.322198025,262,-1.460272661,263,262
MINNESOTA,2.462822364,64,2.472564485,64,2.688507339,63,2.355145862,64,42
MISS VALLEY ST.,-4.47321153,347,-4.473641243,347,-4.43237323,347,-4.452452882,347,351
MISS. STATE,2.728740809,54,2.737989494,54,2.944543484,53,2.627166582,53,50
MISSOURI,2.082500965,78,2.091367088,78,2.291613276,79,1.985812826,79,84
MISSOURI ST.,0.333854246,151,0.33851219,151,0.46538551,151,0.290043798,151,119
MONMOUTH,-0.662737835,210,-0.660351198,210,-0.574568035,212,-0.678164799,208,209
MONTANA,0.127903355,157,0.131977678,157,0.250388558,157,0.091948826,156,141
MONTANA ST.,-0.437098263,192,-0.433006742,192,-0.314409013,191,-0.47313231,192,229
MOREHEAD ST.,-2.39658186,319,-2.394674734,319,-2.313343648,319,-2.404197321,319,321
MORGAN ST.,-2.159067548,310,-2.157025312,310,-2.074566278,310,-2.169517324,310,313
MT ST MARY'S,-2.485828102,323,-2.484057355,323,-2.410309986,323,-2.493605945,323,299
MURRAY ST.,0.080342671,162,0.084411102,162,0.201200179,162,0.044260775,161,133
N. ALABAMA,-2.223919178,312,-2.222108665,312,-2.14461161,313,-2.230950067,311,298
N. ARIZONA,-0.195070563,178,-0.191024905,178,-0.073144734,178,-0.230622851,178,227
N. CAROLINA,2.005706219,87,2.014647976,87,2.215758479,84,1.907796035,87,80
N. COLORADO,0.62436212,135,0.6288278,135,0.753072555,135,0.583273055,134,100
N. DAK. ST.,0.381875715,147,0.386056573,147,0.504963255,147,0.344528617,147,130
N. ILLINOIS,0.667591354,132,0.6729669,131,0.81065624,130,0.614696981,133,174
N. KENTUCKY,0.452157001,143,0.456674384,144,0.580403576,144,0.410286209,143,150
N. MEX. ST.,0.690038087,130,0.692853514,130,0.794652604,131,0.669723992,129,104
N.J. TECH,-2.756422095,330,-2.754713819,330,-2.67997562,330,-2.762499734,330,310
NAVY,-1.210273187,247,-1.207944101,247,-1.123381555,247,-1.225313087,246,243
NC A&T,-1.255348134,249,-1.252714026,249,-1.159622136,249,-1.273033949,249,263
NC CENTRAL,-1.564982156,271,-1.562378711,271,-1.469741103,271,-1.582182821,271,256
NC STATE,2.395942877,67,2.404273428,68,2.595085555,68,2.305969064,66,53
NEB.-OMAHA,-0.434430513,191,-0.430815639,191,-0.321405183,192,-0.464502052,191,234
NEBRASKA,-1.135653352,239,-1.133143143,239,-1.04151697,240,-1.151414627,239,199
NEVADA,1.677271115,97,1.683431759,97,1.836763001,97,1.614434909,96,89
NEW HAMP.,-1.522319896,268,-1.52012111,268,-1.437402364,268,-1.535103692,268,238
NEW MEXICO,0.657732183,133,0.662299828,133,0.789770455,132,0.615095097,132,143
NEW ORLEANS,-3.582266586,339,-3.581562023,339,-3.519920571,339,-3.574398266,339,335
NIAGARA,-1.64173429,276,-1.639446356,276,-1.554637763,276,-1.655560511,275,309
NICHOLLS ST.,-0.970296281,228,-0.968285908,228,-0.885843984,230,-0.979818047,229,192
NORFOLK ST.,-1.747967033,286,-1.745716264,286,-1.659720267,285,-1.760899708,285,247
NORTH DAKOTA,-1.105914694,237,-1.102432413,237,-0.994903324,237,-1.134278013,237,249
NORTH FLORIDA,-0.641319346,206,-0.639101894,206,-0.555471815,209,-0.653869146,205,175
NORTH TEXAS,0.899384999,118,0.903817687,118,1.025471562,119,0.858305851,118,95
NORTHEASTERN,-0.151243792,174,-0.147452219,174,-0.036937309,174,-0.184274147,173,128
NORTHERN IOWA,2.780468515,51,2.789427509,51,2.992136204,51,2.683024002,52,48
NORTHWESTERN,-0.665731413,211,-0.663421902,211,-0.575678741,213,-0.679131074,209,164
NORTHWESTERN ST.,-2.074823839,307,-2.0725901,307,-1.986635013,307,-2.086685993,306,301
NOTRE DAME,2.573428343,58,2.582412625,58,2.784494735,58,2.475088246,59,52
OAKLAND,-0.673740402,212,-0.669749256,212,-0.555194467,208,-0.708813737,212,222
OHIO,0.45200914,144,0.457118873,143,0.590412045,143,0.402575864,144,158
OHIO ST.,3.503683019,24,3.513888233,24,3.737736106,24,3.390133023,24,16
OKLAHOMA,3.160777604,34,3.170283685,34,3.382183857,34,3.056181997,34,46
OKLAHOMA ST.,2.679501636,56,2.688698846,56,2.895155965,56,2.578759518,56,64
OLD DOMINION,-0.3354598,187,-0.33156108,187,-0.219297388,186,-0.369748937,186,173
OLE MISS,1.966296593,89,1.975029184,89,2.17297595,89,1.871308112,89,97
ORAL ROBERTS,-0.198477984,179,-0.19462907,179,-0.081291195,179,-0.231573373,179,144
OREGON,4.102544452,10,4.112755269,10,4.337384669,11,3.989167317,10,12
OREGON ST.,2.311908624,72,2.321102131,72,2.527856127,72,2.211263191,73,71
PACIFIC,0.199294325,154,0.203299038,154,0.319953143,154,0.163875956,154,110
PENN,-0.91177574,222,-0.910608441,222,-0.845242159,226,-0.911231766,220,149
PENN ST.,3.448731348,27,3.45900834,27,3.68403953,27,3.334230848,27,35
PEPPERDINE,0.794966785,123,0.800653194,123,0.94651857,121,0.738577672,123,131
PFW,-1.170844488,242,-1.167478584,242,-1.061976097,243,-1.197900033,243,282
PITTSBURGH,1.864216114,90,1.872785252,90,2.067692891,91,1.771165997,90,109
PORTLAND,-0.54674368,203,-0.542311345,203,-0.418209054,201,-0.587011337,203,275
PORTLAND ST.,-0.166870968,177,-0.162741554,177,-0.043453743,175,-0.203461751,177,179
PRAIRIE VIEW,-1.032741249,235,-1.029750839,235,-0.929838359,234,-1.05451323,234,201
PRESBYTERIAN,-2.561531453,324,-2.559522453,324,-2.477164351,324,-2.571023858,324,330
PRINCETON,-0.476519615,199,-0.474371557,199,-0.39289151,199,-0.488858825,198,166
PROVIDENCE,3.919966438,16,3.931267246,16,4.174269617,16,3.792517145,16,37
PURDUE,2.896652214,47,2.906764101,47,3.128972232,46,2.784269258,47,32
QUINNIPIAC,-1.272736596,251,-1.270610122,251,-1.189225466,251,-1.284730378,251,245
RADFORD,-0.461390731,197,-0.458637466,197,-0.362844235,197,-0.480442907,197,183
RHODE ISLAND,2.555979728,60,2.563428999,61,2.737983699,62,2.47683384,58,57
RICE,-0.888783783,220,-0.88566218,220,-0.78507753,220,-0.912933471,221,214
RICHMOND,2.763846036,52,2.771165996,52,2.942978907,54,2.686002481,51,38
RIDER,-0.642898787,207,-0.640622969,207,-0.556587066,210,-0.656928923,207,185
ROBERT MORRIS,-0.905379327,221,-0.902653869,221,-0.812675757,221,-0.925203005,222,203
RUTGERS,3.240381947,32,3.25062812,32,3.475263607,32,3.126320682,32,30
S. DAK. ST.,0.035875255,165,0.039788506,165,0.154327769,165,0.001954879,164,126
S. ILLINOIS,0.112012557,158,0.116467341,158,0.23989896,158,0.070733583,159,162
SACRAMENTO ST.,-0.375484845,190,-0.371482078,190,-0.254265443,189,-0.410475086,190,186
SACRED HEART,-0.996575791,232,-0.994582974,232,-0.920710431,233,-1.00834762,230,190
SAINT JOSEPH'S,-0.936062771,224,-0.933016415,224,-0.842442427,225,-0.96146391,224,240
SAINT LOUIS,2.61804626,57,2.625624049,57,2.801917687,57,2.537416819,57,49
SAINT MARY'S,4.296497104,9,4.308357827,9,4.564513871,9,4.163677107,9,31
SAM HOU. ST.,-1.501232108,265,-1.499056224,265,-1.413246223,265,-1.512658674,265,228
SAMFORD,-2.364866514,318,-2.362809129,318,-2.278393946,318,-2.374397158,318,325
SAN DIEGO,-1.072019787,236,-1.067845796,236,-0.947523465,236,-1.109073545,236,231
SAN DIEGO ST,6.23286302,1,6.24878994,1,6.594182459,1,6.055224263,1,4
SAN FRAN.,2.020024314,84,2.028064765,84,2.214954643,85,1.933996567,84,83
SAN JOSE ST.,-1.338074623,256,-1.334265275,256,-1.220319511,254,-1.370425778,258,287
SANTA CLARA,0.578933975,138,0.583909165,138,0.717445443,137,0.531421647,138,145
SC STATE,-2.257424813,315,-2.25525024,315,-2.170250011,315,-2.269260757,315,329
SC UPSTATE,-1.782022275,289,-1.779633649,289,-1.689259815,289,-1.796143989,290,319
SE LOUISIANA,-4.301643385,346,-4.301696152,346,-4.252726998,346,-4.284015655,346,341
SE MISSOURI ST.,-3.719929623,341,-3.718619182,341,-3.646439521,341,-3.718825242,341,342
SEATTLE,-1.13062404,238,-1.128350721,238,-1.035703153,239,-1.144106567,238,226
SETON HALL,4.099387736,11,4.110194388,11,4.344646231,10,3.978247809,11,15
SF AUSTIN,2.080829648,79,2.088374658,80,2.266435987,81,2.001186639,78,77
SIENA,-0.044271464,168,-0.041803836,168,0.04460372,168,-0.061129371,168,151
SIUE,-3.630277976,340,-3.628479148,340,-3.54899524,340,-3.634520458,340,336
SMU,2.009526337,85,2.018101343,85,2.213621957,86,1.916589609,86,88
SO. MISS,-2.222243139,311,-2.219539687,311,-2.126838789,311,-2.2405371,312,290
SO. UTAH,-0.442178084,193,-0.438361205,193,-0.323986867,193,-0.474761755,193,184
SOUTH ALABAMA,0.363799666,148,0.368010577,148,0.487054728,148,0.325896946,148,169
SOUTH CAROLINA,2.55705925,59,2.566169382,59,2.770635781,59,2.457296461,60,66
SOUTH DAKOTA,-0.115317214,170,-0.111387518,170,0.002673594,169,-0.149345422,170,182
SOUTH FLORIDA,1.681520942,95,1.690005686,95,1.882662796,94,1.589678667,97,125
SOUTHERN U.,-1.659857693,277,-1.657273181,277,-1.564190024,277,-1.676464295,278,265
ST. BONA.,0.968971764,114,0.974238308,114,1.108873813,114,0.917326487,114,122
ST. FRAN.-NY,-2.096300336,308,-2.094327561,308,-2.014649745,308,-2.105921138,308,305
ST. FRAN.-PA.,0,166,0,166,0,170,0,165,178
ST. JOHN'S,2.882526812,48,2.893071432,48,3.122940109,48,2.764569701,48,62
ST. PETER'S,-0.5125897,200,-0.510232243,200,-0.42513383,202,-0.527700301,200,213
STANFORD,2.687663056,55,2.69646753,55,2.896608674,55,2.591831221,55,33
STETSON,-2.002390792,302,-2.000571805,302,-1.922918724,303,-2.00958078,302,294
STONY BROOK,-0.146814075,173,-0.1440238,173,-0.05218852,177,-0.16771253,171,189
SYRACUSE,2.286241309,74,2.295105407,74,2.495219005,73,2.189470062,74,61
TCU,2.074875813,81,2.083524732,81,2.28053573,80,1.98106602,81,93
TEMPLE,1.62274563,100,1.631234593,100,1.824825026,99,1.530729871,100,116
